Per,X19hex,Fuco,Pra,Viol,Allo,Zea
0,0.0961,0.06179,0.00939,0,0.01064,0
0,0.05564,0.03663,0.00273,0,0.00487,0
0,0.02864,0.0103,0,0,0.00275,0
0.00732,0.0636,0.10551,0,0,0.01084,0.00204
0.00766,0.06423,0.11495,0,0,0.00964,0
0.02715,0.08501,0.14494,0.00208,0,0.00923,0
0,0.05312,0.1256,0.00726,0,0.00993,0.00447
0.0012,0.04442,0.05137,0.00253,0,0.00525,0.00174
0,0.01471,0.0081,0,0,0.00186,0
0.00397,0.07319,0.05753,0,0,0.00815,0.00154
0.00619,0.07739,0.061,0,0,0.00885,0
0.01147,0.10368,0.08227,0,0,0.00844,0
0.0273,0.09801,0.07916,0,0,0.00766,0
0.00224,0.09763,0.06526,0.00398,0,0.00925,0
0,0.0512,0.03806,0.00192,0,0.0069,0
0.02114,0.11884,0.23117,0,0,0.00948,0
0.01833,0.1151,0.22436,0,0,0.01074,0
0.06091,0.13553,0.40997,0,0,0.00845,0
0.01359,0.05725,0.29318,0,0,0.00756,0.00275
0.00356,0.03956,0.158,0.00295,0,0.00809,0.00523
0,0.02964,0.01506,0,0,0.00478,0
0.03754,0.16375,0.4165,0,0,0.01099,0.0025
0.02777,0.11285,0.30016,0,0,0.00623,0.00208
0.06377,0.26748,1.09731,0,0,0.01577,0
0.02894,0.17752,0.85654,0,0,0,0.00605
0.01658,0.06719,0.31762,0,0,0.00976,0.01058
0.00257,0.03987,0.10755,0.00229,0,0.0066,0.00617
0,0.0457,0.02565,0,0,0.00454,0
0.00156,0.0505,0.04066,0,0,0.00417,0
0.00475,0.08362,0.14828,0,0,0.00695,0
0,0.1026,0.05368,0,0,0.00657,0
0,0.07942,0.03621,0,0,0.00569,0
0,0.05964,0.03071,0,0,0.00549,0
0,0.04919,0.06758,0,0,0.00535,0
0,0.05163,0.07398,0,0,0.00631,0
0,0.0544,0.0814,0,0,0.00698,0
0,0.05307,0.07791,0,0,0.00633,0
0,0.05268,0.06843,0,0,0.00794,0
0,0.0266,0.02728,0,0,0.00515,0
0.0044,0.06663,0.11239,0,0,0.00741,0
0,0.06832,0.11915,0,0,0.00572,0
0.00386,0.07178,0.13131,0,0,0.00884,0
0,0.06565,0.09185,0,0,0.00778,0
0,0.07199,0.12654,0,0,0.00804,0
0,0.0289,0.0401,0,0,0.00542,0
0.00337,0.06816,0.09101,0,0,0.00617,0
0,0.06234,0.08624,0,0,0.0066,0
0,0.08012,0.12905,0,0,0.00639,0
0.00345,0.07222,0.04609,0,0,0.00662,0
0.00428,0.06551,0.05407,0,0,0.00547,0
0.002,0.03981,0.04579,0,0,0.00547,0
0.02104,0.14272,0.33473,0,0,0.0145,0
0.0149,0.15611,0.31092,0,0,0.01096,0
0.01111,0.21745,0.24298,0,0,0,0.01415
0.00378,0.22101,0.1233,0,0,0,0.01235
0,0.18898,0.08093,0,0,0,0.00736
0,0.12917,0.01889,0,0,0,0
0.02812,0.13655,0.37411,0,0,0.02307,0
0.02885,0.12429,0.36684,0,0,0.02179,0
0.03281,0.13351,0.37609,0,0,0.02147,0
0.06505,0.14069,0.52861,0,0,0.01171,0
0.01297,0.09596,0.32891,0.00462,0,0.01008,0
0,0.047,0.07514,0.00598,0,0.00742,0.00384
0.00945,0.25285,0.99966,0,0,0.01216,0.00377
0,0.2297,0.95151,0,0,0.01236,0.0101
0,0.2104,0.86796,0,0,0.01418,0.0058
0,0.02763,0.11359,0,0,0.00994,0.00429
0,0.02269,0.11296,0.00405,0,0.00984,0.00541
0.002,0.02402,0.06353,0.00315,0,0.0056,0.00305
0.01748,0.06656,0.25258,0,0,0.01057,0.00079
0.01366,0.0683,0.25245,0,0,0.0122,0
0.02263,0.06976,0.30455,0,0,0.01064,0
0.04812,0.06434,0.36485,0,0,0,0.00216
0.01146,0.03914,0.18785,0.00642,0,0.00743,0.0035
0.00212,0.02871,0.10828,0.00651,0,0.00684,0.00597
0.01687,0.0623,0.28242,0,0,0.01071,0
0.01527,0.05624,0.23844,0,0,0.01213,0
0.0213,0.05195,0.25695,0,0,0.00921,0
0.13269,0.0375,0.22058,0,0,0.00814,0
0.02918,0.02655,0.20144,0.00574,0,0.00962,0
0,0.02807,0.07384,0.00738,0,0.00805,0
0.01322,0.06647,0.22471,0,0,0.01137,0
0.00994,0.0587,0.18957,0,0,0.01142,0
0.01579,0.05766,0.22235,0,0,0.00995,0
0,0.0296,0.10407,0.01181,0,0.00923,0
0,0.03196,0.06427,0.00497,0,0.00576,0.00554
0,0.01052,0.0076,0,0,0.0029,0
0.01695,0.11607,0.14818,0,0,0.01164,0.00247
0.026,0.15281,0.24665,0,0,0.01691,0.00969
0,0.03366,0.37668,0,0,0.01975,0.04083
0.05242,0.01679,0.14096,0,0,0.00886,0.01992
0,0.02416,0.09527,0.00175,0,0.00775,0.01443
0,0.03972,0.04888,0,0,0.00597,0.00563
0.01691,0.22186,0.11367,0,0,0.01846,0
0.02076,0.20662,0.13887,0,0,0.01772,0
0.02796,0.10127,0.36691,0,0,0.0157,0.00545
0.00675,0.03936,0.0659,0,0,0.0071,0.00274
0.00361,0.02662,0.03645,0,0,0.00483,0.00251
0,0.01292,0.0182,0,0,0.00396,0
0.00652,0.18693,0.04821,0,0,0.01809,0
0.00516,0.17925,0.03803,0,0,0.01778,0
0.00876,0.2003,0.16251,0.00246,0,0.02841,0
0,0.11417,0.06636,0.00473,0,0.01167,0
0,0.0429,0.02553,0.00137,0,0.00432,0
0,0.00433,0.00553,0,0,0.00357,0
0.01341,0.08915,0.52475,0,0,0.03262,0.00327
0.00954,0.09173,0.70133,0,0,0.02748,0.00235
0.01097,0.09375,0.51639,0,0,0.02896,0.00473
0.00325,0.11256,0.09048,0.00391,0,0.02459,0.00148
0.0025,0.10626,0.08074,0.00526,0,0.0216,0
0,0.08618,0.05789,0.00515,0,0.01488,0
0.01227,0.11455,0.90963,0,0,0.04982,0
0,0.07881,0.27604,0,0,0.03574,0
0.00525,0.08663,0.25748,0.00348,0,0.02205,0.00245
0.00207,0.08772,0.08645,0.00474,0,0.01989,0
0.0017,0.07849,0.05737,0.00545,0,0.01799,0
0,0.03364,0.01915,0.00215,0,0.00603,0
0,0.08739,0.15847,0,0,0.0195,0.00657
0,0.199,1.25273,0,0,0.01783,0.01359
0.00752,0.05394,0.34449,0,0,0.0141,0.00731
0.0043,0.02685,0.11644,0.00412,0,0.01386,0.00944
0,0.0161,0.06078,0.00309,0,0.00994,0.00689
0,0.01402,0.03099,0.00273,0,0.00646,0.00623
0,0.13918,0.59258,0,0,0.01384,0.01083
0,0.15943,0.74313,0,0,0.01574,0.01094
0,0.16768,0.80414,0,0,0.01342,0.00369
0.01177,0.2096,0.97318,0.00308,0,0.02439,0.02659
0,0.01346,0.02988,0,0,0.00672,0.00363
0,0.01141,0.00812,0,0,0.00438,0
0.01254,0.13397,0.52199,0,0,0.00947,0.00304
0.01395,0.13457,0.52006,0,0,0.00882,0.00251
0.01035,0.11505,0.53416,0,0,0.01325,0
0,0.04445,0.19401,0.00185,0,0.00769,0.01736
0.00224,0.02169,0.07665,0,0,0.0046,0.00663
0,0.00356,0.01035,0,0,0,0
0.00192,0.0242,0.04582,0,0,0.00491,0
0,0.02304,0.04387,0,0,0.00539,0
0,0.01934,0.03595,0,0,0.00402,0
0,0.04264,0.04503,0,0,0.00591,0
